BioGEOTRACES_ID	ratio
S0276-redo	7.40392431879518
S0068	7.24677602804679
S0231	7.23695409475584
S0335	6.88257968166433
S0055	6.77544739402321
S0322	6.44392311788917
S0145	6.37246693109303
S0142	6.37196428852328
S0235	6.11413758642729
S0143	5.89588525771124
S0277-redo	5.76401078597719
S0407	5.75523715359574
S0280	5.70924387932082
S0136	5.63090150118083
S0054	5.62717760902063
S0307	5.58782208078119
S0445	5.50330539308546
S0059	5.37254182714895
S0093	5.34370568406055
S0410	5.33060817455697
S0437	5.31026904201613
S0384	5.236673645875
S0119	4.9808840520457
S0265	4.97900207137049
S0424	4.93102345372543
S0299	4.53151753169504
S0137	4.46983740288991
S0141	4.43131684392139
S0249	4.41377546608676
S0098	4.28083172518847
S0292	4.12463026695118
S0420	3.7792919429253
S0361	2.23618299857565
