Data File Name,2100 expert_High Sensitivity DNA Assay_DE54700632_2020-03-13_17-24-22_exports.xad
Data File Path,E:\201905_exports
Date Created,"Saturday, March 14, 2020 12:24:22 AM"
Date Last Modified,"Tuesday, November 03, 2020 12:48:31 AM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,8
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
60.9,5.966012
60.95,3.530312
61,2.59705
61.05,1.994833
61.1,1.56941
61.15,1.117878
61.2,0.7474643
61.25,0.5934296
61.3,0.4507012
61.35,0.2467393
61.4,-3.951491E-02
61.45,-0.1355969
61.5,-0.253424
61.55,-0.2335885
61.6,-0.24834
61.65,-0.3193371
61.7,-0.4389074
61.75,-0.510286
61.8,-0.654519
61.85,-0.6456276
61.9,-0.6364739
61.95,-0.5358336
62,-0.6186231
62.05,-0.8425213
62.1,-0.7803694
62.15,-0.7141944
62.2,-0.5903034
62.25,-0.4347968
62.3,-0.4543324
62.35,-0.7223028
62.4,-0.8193992
62.45,-0.8403184
62.5,-0.8868965
62.55,-0.9529681
62.6,-0.9256316
62.65,-1.040639
62.7,-1.227799
62.75,-1.305691
62.8,-1.29875
62.85,-1.196397
62.9,-1.085411
62.95,-0.9166662
63,-0.9179372
63.05,-0.9471052
63.1,-0.8956415
63.15,-0.946646
63.2,-0.9008092
63.25,-1.02501
63.3,-0.9968874
63.35,-1.028365
63.4,-1.151766
63.45,-0.9880729
63.5,-0.9640762
63.55,-0.9667776
63.6,-0.9286091
63.65,-1.020078
63.7,-1.136093
63.75,-1.179745
63.8,-1.125058
63.85,-1.108843
63.9,-1.051189
63.95,-0.9545401
64,-1.115474
64.05,-1.212207
64.1,-1.245627
64.15,-1.289733
64.2,-1.186792
64.25,-1.304
64.3,-1.254615
64.35,-1.261259
64.4,-1.325705
64.45,-1.245296
64.5,-1.302287
64.55,-1.302009
64.6,-1.248779
64.65,-1.1705
64.7,-1.122745
64.75,-1.0905
64.8,-0.9853258
64.85,-0.9949186
64.9,-1.124025
64.95,-1.181508
65,-1.246316
65.05,-1.200243
65.1,-1.228567
65.15,-1.115515
65.2,-1.151425
65.25,-1.33968
65.3,-1.253788
65.35,-1.417428
65.4,-1.573275
65.45,-1.58058
65.5,-1.480776
65.55,-1.314307
65.6,-1.20555
65.65,-1.122388
65.7,-1.191613
65.75,-1.4142
65.8,-1.468056
65.85,-1.002378
65.9,-0.6926832
65.95,0.8583194
66,2.811508
66.05,3.334097
66.1,2.491477
66.15,1.009009
66.2,-0.6695151
66.25,-1.527936
66.3,-1.366231
66.35,-1.326553
66.4,-1.362014
66.45,-1.264668
66.5,-1.298504
66.55,-1.548424
66.6,-1.867372
66.65,-1.803573
66.7,-1.724364
66.75,-1.633532
66.8,-1.492668
66.85,-1.641711
66.9,-1.736996
66.95,-1.648827
67,-1.323866
67.05,-1.177893
67.1,-1.333855
67.15,-1.483922
67.2,-1.602739
67.25,-1.442852
67.3,-1.269356
67.35,-1.185867
67.4,-1.341286
67.45,-1.413156
67.5,-1.36888
67.55,-1.399327
67.6,-1.527889
67.65,-1.47086
67.7,-1.442121
67.75,-1.439649
67.8,-1.51213
67.85,-1.644509
67.9,-1.713232
67.95,-1.860081
68,-1.692076
68.05,-1.575221
68.1,-1.530977
68.15,-1.379849
68.2,-1.450489
68.25,-1.466606
68.3,-1.556354
68.35,-1.513017
68.4,-1.514561
68.45,-1.634236
68.5,-1.585868
68.55,-1.48222
68.6,-1.497375
68.65,-1.488516
68.7,-1.43672
68.75,-1.442985
68.8,-1.52756
68.85,-1.466343
68.9,-1.520607
68.95,-1.553813
69,-1.488248
69.05,-1.46257
69.1,-1.507569
69.15,-1.549229
69.2,-1.602176
69.25,-1.498337
